,Model,NVARS,Parameters,Trn,Tst,OOT
206,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.823140496,0.778181818,0.430167598
207,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.820634921,0.788,0.446927374
208,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.825,0.775,0.430167598
209,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.830894309,0.773584906,0.430167598
210,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.794788274,0.718045113,0.413407821
211,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.771986971,0.748120301,0.396648045
212,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.738134206,0.743494424,0.407821229
213,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.760586319,0.733082707,0.363128492
214,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.784219002,0.694980695,0.407821229
215,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.782467532,0.75,0.413407821
216,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.757825371,0.725274725,0.38547486
217,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.778512397,0.723636364,0.396648045
218,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.775577558,0.744525547,0.402234637
219,LGBM,10,"min_child_samples=1000, min_split_gain=5",0.761589404,0.724637681,0.38547486
220,LGBM,10,"min_child_samples=500, min_split_gain=5",0.775080906,0.770992366,0.424581006
221,LGBM,10,"min_child_samples=500, min_split_gain=5",0.785478548,0.759124088,0.407821229
222,LGBM,10,"min_child_samples=500, min_split_gain=5",0.777777778,0.722021661,0.402234637
223,LGBM,10,"min_child_samples=500, min_split_gain=5",0.77,0.789285714,0.424581006
224,LGBM,10,"min_child_samples=500, min_split_gain=5",0.772292994,0.742063492,0.418994413
225,LGBM,10,"min_child_samples=500, min_split_gain=5",0.7824,0.784313725,0.43575419
226,LGBM,10,"min_child_samples=500, min_split_gain=5",0.794258373,0.782608696,0.418994413
227,LGBM,10,"min_child_samples=500, min_split_gain=5",0.798076923,0.73828125,0.396648045
228,LGBM,10,"min_child_samples=500, min_split_gain=5",0.78559464,0.752650177,0.418994413
229,LGBM,10,"min_child_samples=500, min_split_gain=5",0.788333333,0.717857143,0.480446927
230,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.748333333,0.728571429,0.413407821
231,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.768404908,0.675438596,0.402234637
232,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.7472,0.741176471,0.424581006
233,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.762987013,0.693181818,0.424581006
234,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.76461039,0.712121212,0.396648045
235,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.748427673,0.737704918,0.407821229
236,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.758508914,0.737642586,0.424581006
237,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.768115942,0.725868726,0.407821229
238,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.746434231,0.714859438,0.407821229
239,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=10",0.768982229,0.724137931,0.424581006
240,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.828711256,0.816479401,0.502793296
241,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.863414634,0.758490566,0.413407821
242,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.858766234,0.795454545,0.43575419
243,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.856198347,0.774545455,0.51396648
244,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.864433812,0.786561265,0.418994413
245,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.848932677,0.79704797,0.424581006
246,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.844221106,0.791519435,0.480446927
247,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.828333333,0.817857143,0.491620112
248,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.867528271,0.724137931,0.480446927
249,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=30",0.847933884,0.821818182,0.424581006
250,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.831125828,0.768115942,0.508379888
251,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.809294872,0.7734375,0.474860335
252,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.817307692,0.78515625,0.418994413
253,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.814754098,0.792592593,0.441340782
254,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.797029703,0.817518248,0.502793296
255,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.803986711,0.816546763,0.446927374
256,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.821086262,0.744094488,0.430167598
257,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.813356164,0.743243243,0.430167598
258,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.795379538,0.799270073,0.452513966
259,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=15",0.809917355,0.778181818,0.43575419
260,LGBM,10,"min_child_samples=500, min_split_gain=1, n_estimators=50, num_leaves=19",0.847790507,0.788104089,0.497206704
