,variables
427,card_Merch_des_zip_variability_avg_0
428,card_Merch_des_zip_actual/total_0
429,card_Merch_des_zip_actual/max_0
430,card_Merch_des_zip_actual/avg_0
431,card_Merch_des_zip_std_0
432,card_Merch_des_zip_total_0
433,card_Merch_des_zip_max_0
434,card_Merch_des_zip_avg_0
435,card_Merch_des_zip_count_0
436,card_Merch_des_zip_day_since
437,card_Merch_des_state_variability_std_30
438,card_Merch_des_state_variability_cum_30
439,card_Merch_des_state_variability_max_30
440,card_Merch_des_state_variability_min_30
441,card_Merch_des_state_variability_avg_30
442,card_Merch_des_state_actual/total_30
443,card_Merch_des_state_actual/max_30
444,card_Merch_des_state_actual/avg_30
445,card_Merch_des_state_std_30
446,card_Merch_des_state_total_30
447,card_Merch_des_state_max_30
448,card_Merch_des_state_avg_30
449,card_Merch_des_state_count_30
450,card_Merch_des_state_variability_std_14
451,card_Merch_des_state_variability_cum_14
452,card_Merch_des_state_variability_max_14
453,card_Merch_des_state_variability_min_14
454,card_Merch_des_state_variability_avg_14
455,card_Merch_des_state_actual/total_14
456,card_Merch_des_state_actual/max_14
457,card_Merch_des_state_actual/avg_14
458,card_Merch_des_state_std_14
459,card_Merch_des_state_total_14
460,card_Merch_des_state_max_14
461,card_Merch_des_state_avg_14
462,card_Merch_des_state_count_14
463,card_Merch_des_state_variability_std_7
464,card_Merch_des_state_variability_cum_7
465,card_Merch_des_state_variability_max_7
466,card_Merch_des_state_variability_min_7
467,card_Merch_des_state_variability_avg_7
468,card_Merch_des_state_actual/total_7
469,card_Merch_des_state_actual/max_7
470,card_Merch_des_state_actual/avg_7
471,card_Merch_des_state_std_7
472,card_Merch_des_state_total_7
473,card_Merch_des_state_max_7
474,card_Merch_des_state_avg_7
475,card_Merch_des_state_count_7
476,card_Merch_des_state_variability_std_3
477,card_Merch_des_state_variability_cum_3
478,card_Merch_des_state_variability_max_3
479,card_Merch_des_state_variability_min_3
480,card_Merch_des_state_variability_avg_3
481,card_Merch_des_state_actual/total_3
482,card_Merch_des_state_actual/max_3
